形容詞,快い,嬉しい,美しい,新しい,日本的な,むなしい,都会的な,変化のある,秩序のある,安心な
1.png,-0.4117647,-1.3529412,-0.0588235,-1.7058824,-1.3529412,1.64705882,-1.0588235,0.11764706,-0.2352941,-1.1764706
2.png,0,-0.2941176,0.11764706,-1.3529412,-1.1176471,0.82352941,-1.7647059,-0.2352941,-0.1764706,0
3.png,1.11764706,0.70588235,1,1.70588235,-0.5294118,-1.1764706,0.88235294,0.35294118,1.35294118,1.47058824
4.png,0.82352941,0.58823529,1,1.58823529,-1.0588235,-1.1176471,1.11764706,0.35294118,1.17647059,1.35294118
5.png,0.35294118,-0.0588235,0.35294118,0.70588235,0,0.17647059,1.35294118,-1.5294118,1.70588235,-0.125
6.png,1.05882353,-0.3529412,1.35294118,-0.1764706,-0.8235294,0.58823529,-1.0588235,0.41176471,-0.3529412,-1.2352941
7.png,1.64705882,0.76470588,1.52941176,0.17647059,-0.2941176,-0.8235294,-0.8235294,0.76470588,-0.1764706,0.94117647
8.png,1.05882353,0.52941176,1.76470588,0.11767059,0.11764706,0.17647059,-0.9411765,0.58823529,0.411764471,0.05882353
9.png,-0.2352941,-0.4705882,0,-0.8235294,-1,0.41176471,-1.7647059,-0.7058824,0,-1
10.png,1,0.11764706,0.29411765,0.35294118,0.52941176,-0.1176471,-1.7058824,-1.2352941,1.47058824,1.35294118
