番号,快い,嬉しい,美しい,新しい,日本的な,むなしい,都会的な,変化のある,秩序のある,安心な
1,1,-2,1,-2,-2,2,-2,0,-1,-1
2,0,-2,0,-2,-2,2,-1,0,0,-2
3,-2,-2,-2,-2,-1,2,-1,-1,0,-2
4,0,-1,1,-2,-2,2,-2,2,0,-1
5,1,1,2,-2,-1,2,-2,0,0,-1
6,-1,-2,-1,-2,-2,1,-2,-2,1,-2
7,-1,-1,-1,-2,-1,2,0,0,0,0
8,-1,-2,-2,-2,-2,2,-1,1,-2,-2
9,0,0,0,-1,0,1,0,-1,0,0
10,-1,-1,0,-1,-1,1,-2,1,0,-2
11,-1,-1,-1,-1,-1,1,-1,1,-1,-1
12,1,-2,1,-2,-1,2,-1,0,0,-1
13,-2,-2,0,-2,-1,2,-1,0,0,-1
14,0,-2,1,-2,-2,1,-2,0,0,-2
15,0,-1,1,-2,-2,2,0,1,-1,-1
16,-1,-2,-1,-1,-1,2,-1,0,0,-1
17,0,-1,0,-1,-1,1,1,0,0,0
18,-1,-2,-1,-2,-1,2,-2,0,-1,-2
19,1,0,1,0,-1,1,-2,0,0,1
20,1,1,1,-1,-1,1,-2,-2,1,0
21,-2,0,-1,-2,-1,-1,-1,1,0,1
22,1,1,1,-2,-1,2,-2,0,0,1
23,-1,-2,-1,-2,0,2,-2,-2,1,-2
24,1,0,1,-2,-1,1,-2,0,0,1
25,-1,-2,-1,-2,-2,2,-2,1,-2,-2
26,0,0,1,-1,-1,0,-1,0,0,1
27,0,-1,1,-1,-1,1,-2,1,-1,0
28,0,0,-1,-1,-1,1,-2,0,0,0
29,0,-1,1,-1,-2,1,-2,0,0,0
30,-1,0,0,-1,-1,1,-2,0,0,1
31,1,0,0,-1,-1,-1,-2,-1,0,1
32,0,0,1,-2,-1,0,-1,-1,0,0
33,0,1,0,-1,-2,0,-1,-1,0,1
34,1,0,-1,-1,-1,1,-2,0,-1,-2
35,2,1,2,2,-1,-2,-1,2,2,2
36,0,0,0,2,0,-2,-1,0,1,0
37,1,1,0,2,0,-2,1,1,1,2
38,1,1,1,1,-1,-1,1,-1,1,1
39,0,0,1,2,0,-1,1,-1,2,2
40,2,1,1,2,-1,-2,1,-1,1,2
41,1,0,1,2,0,-2,2,1,2,2
42,2,2,2,2,-1,-2,2,1,2,2
43,2,1,1,1,-1,0,1,1,2,2
44,2,1,2,2,0,-1,2,1,2,2
45,1,1,2,2,-1,0,2,0,1,1
46,1,0,1,2,-1,0,2,1,1,2
47,0,1,0,1,-1,-1,0,1,1,1
48,1,1,0,1,0,-1,0,0,2,1
49,2,0,0,1,0,-2,0,0,1,1
50,1,0,2,2,-1,-1,1,0,1,2
51,0,1,1,2,0,0,1,0,0,0
52,2,0,2,2,-1,-2,1,2,2,1
53,0,0,1,2,-1,-1,1,0,1,1
54,1,1,1,2,-1,-2,1,0,1,2
55,1,1,1,1,-1,-1,1,-1,1,1
